DisseminationArea,Primary Cluster,Secondary Cluster
35202375,B,1
35202376,B,3
35202377,B,1
35202378,B,2
35202379,B,1
35202380,B,3
35202381,B,3
35202382,B,3
35202383,B,3
35202384,B,3
35202385,B,3
35202386,B,3
35202387,B,3
35202388,B,3
35202389,B,3
35202390,B,3
35202391,B,3
35202392,B,3
35202393,B,3
35202394,B,3
35202395,B,1
35202396,B,3
35202398,B,1
35202399,B,3
35202400,B,3
35202401,B,3
35202402,B,1
35202403,C,4
35202404,A,3
35202405,A,2
35202406,B,1
35202407,A,3
35202408,C,4
35202409,C,3
35202413,B,3
35202414,B,3
35202415,B,2
35202416,D,1
35202417,B,2
35202418,B,2
35202419,B,2
35202430,A,3
35202431,D,2
35202433,C,3
35202436,D,2
35202439,B,2
35202440,B,2
35202441,B,2
35202442,B,2
35202443,A,3
35202446,B,2
35202447,B,2
35202448,B,2
35202449,B,2
35202450,B,2
35202451,B,2
35202452,B,2
35202453,B,2
35202454,B,2
35202455,B,2
35202456,B,2
35202457,B,2
35202458,B,2
35202459,B,2
35202460,B,2
35202461,B,2
35202462,C,3
35202466,C,4
35202467,B,2
35202468,B,2
35202469,A,3
35202472,B,2
35202475,B,2
35202476,B,2
35202477,B,2
35202478,B,2
35202479,B,2
35202480,B,2
35202481,B,2
35202482,B,2
35202483,B,2
35202484,B,2
35202485,B,2
35202486,B,2
35202487,B,3
35202491,B,2
35202492,B,2
35202493,B,2
35202494,B,2
35202495,B,2
35202496,B,2
35202497,B,2
35202498,B,2
35202499,C,4
35202500,B,2
35202501,D,2
35202502,B,2
35202503,D,2
35202504,B,2
35202507,B,2
35202508,B,2
35202509,B,2
35202510,A,3
35202511,B,2
35202512,B,2
35202513,B,2
35202514,B,2
35202515,B,2
35202516,A,3
35202517,A,3
35202522,A,1
35202523,B,2
35202529,A,3
35202534,B,1
35202535,B,2
35202547,C,1
35202548,B,2
35202549,D,1
35202550,C,1
35202551,D,1
35202553,A,1
35202554,A,1
35202555,A,1
35202560,C,4
35202564,B,3
35202565,B,1
35202566,B,1
35202567,B,1
35202568,B,1
35202569,C,4
35202570,B,3
35202571,B,1
35202572,B,2
35202573,B,2
35202574,B,1
35202575,B,2
35202576,B,2
35202577,B,3
35202583,B,2
35202584,B,2
35202585,C,1
35202586,B,2
35202587,B,2
35202588,C,4
35202589,D,1
35202590,B,2
35202591,A,1
35202592,B,3
35202593,B,2
35202594,B,3
35202597,B,2
35202598,B,2
35202599,B,2
35202600,B,3
35202605,D,1
35202606,B,3
35202608,B,3
35202611,B,2
35202612,B,2
35202613,B,2
35202614,B,2
35202615,B,3
35202616,B,3
35202617,B,2
35202618,A,3
35202619,B,2
35202620,B,2
35202621,B,3
35202622,B,3
35202623,B,3
35202627,B,2
35202628,A,3
35202629,B,3
35202630,B,3
35202636,B,3
35202637,B,3
35202638,B,3
35202639,B,3
35202640,A,2
35202641,B,1
35202642,B,1
35202643,B,3
35202644,B,3
35202645,B,1
35202646,B,3
35202647,B,1
35202648,A,2
35202649,B,1
35202650,A,2
35202653,B,3
35202654,A,3
35202655,D,2
35202656,A,3
35202657,A,3
35202666,D,2
35202669,A,3
35202670,D,2
35202671,D,2
35202672,B,1
35202673,A,2
35202674,A,3
35202675,D,1
35202676,B,3
35202677,B,1
35202678,B,3
35202679,B,3
35202680,B,1
35202681,B,1
35202682,B,1
35202683,B,1
35202684,B,1
35202685,B,3
35202686,B,3
35202687,B,1
35202688,B,1
35202689,B,3
35202690,B,1
35202691,B,1
35202694,B,1
35202695,B,3
35202699,B,2
35202700,B,1
35202701,B,1
35202702,D,2
35202703,B,1
35202704,B,3
35202705,A,3
35202706,A,1
35202707,C,1
35202712,A,1
35202722,C,4
35202727,C,3
35202733,A,1
35202735,A,1
35202736,C,3
35202739,B,2
35202741,B,1
35202742,B,2
35202743,C,3
35202744,A,1
35202745,B,2
35202746,B,1
35202747,B,3
35202748,A,1
35202749,B,3
35202750,C,1
35202751,B,3
35202752,B,3
35202753,B,3
35202756,B,3
35202757,B,3
35202758,B,2
35202760,B,2
35202761,B,3
35202762,B,3
35202763,B,3
35202764,B,3
35202765,B,2
35202767,B,2
35202768,B,1
35202769,D,1
35202770,B,1
35202771,B,3
35202772,B,3
35202773,B,3
35202774,B,3
35202775,B,3
35202776,B,3
35202777,B,3
35202778,B,1
35202779,B,3
35202787,B,1
35202788,B,1
35202789,A,2
35202790,A,2
35202791,D,2
35202792,A,2
35202797,B,1
35202798,B,1
35202799,B,1
35202800,D,1
35202801,A,2
35202802,B,1
35202803,B,1
35202804,A,2
35202805,D,1
35202806,B,1
35202807,D,1
35202808,D,1
35202809,D,1
35202810,B,1
35202811,D,1
35202812,B,1
35202813,D,1
35202814,D,1
35202817,D,2
35202818,D,2
35202819,D,2
35202820,D,2
35202821,D,2
35202823,D,2
35202840,D,2
35202842,D,1
35202843,D,1
35202845,D,1
35202846,D,1
35202847,D,1
35202848,A,2
35202849,D,2
35202850,D,1
35202878,B,1
35202879,D,1
35202880,D,1
35202881,B,1
35202882,D,1
35202883,B,1
35202884,B,3
35202886,B,3
35202887,B,1
35202888,B,3
35202889,B,1
35202890,A,2
35202891,B,1
35202892,D,1
35202893,A,2
35202894,D,1
35202895,B,3
35202896,B,3
35202897,B,3
35202898,B,3
35202899,B,3
35202900,B,1
35202901,B,2
35202902,D,1
35202903,A,2
35202904,A,2
35202905,B,3
35202906,D,2
35202907,A,2
35202910,D,1
35202911,B,1
35202912,B,1
35202918,B,1
35202919,B,1
35202920,B,1
35202928,A,2
35202930,B,1
35202931,A,2
35202932,B,1
35202933,B,3
35202935,B,1
35202936,B,1
35202937,B,3
35202938,B,3
35202939,B,1
35202940,B,1
35202941,B,3
35202942,B,3
35202943,A,3
35202944,B,1
35202945,B,3
35202946,B,3
35202947,B,1
35202948,B,3
35202949,B,1
35202950,B,1
35202951,B,1
35202952,B,3
35202953,B,3
35202954,B,1
35202955,C,4
35202965,C,4
35202966,B,1
35202967,B,1
35202968,B,3
35202969,B,1
35202970,C,3
35202971,C,4
35202972,B,1
35202973,B,2
35202974,B,3
35202975,B,1
35202976,B,1
35202977,A,2
35202982,B,3
35202983,C,2
35202984,A,3
35202985,C,4
35202986,B,1
35202987,B,3
35202988,B,1
35202989,B,3
35202990,A,1
35202991,A,3
35202992,B,3
35202993,B,3
35202994,B,3
35202995,B,3
35202996,B,3
35202997,B,3
35202998,B,3
35202999,B,1
35203000,B,3
35203001,B,2
35203002,C,4
35203003,B,3
35203004,B,3
35203005,B,3
35203006,B,3
35203007,B,3
35203008,B,3
35203009,B,3
35203015,C,2
35203016,C,4
35203018,C,2
35203026,C,3
35203027,C,1
35203028,C,1
35203029,C,1
35203030,C,1
35203031,C,1
35203032,C,1
35203033,C,1
35203034,A,1
35203035,C,4
35203036,C,4
35203037,A,1
35203038,C,4
35203039,C,1
35203040,C,1
35203041,C,1
35203042,C,4
35203043,C,1
35203044,C,1
35203045,C,1
35203046,C,4
35203047,C,4
35203048,C,1
35203049,C,1
35203050,C,2
35203051,C,2
35203052,C,1
35203053,C,3
35203054,C,2
35203055,C,1
35203056,C,3
35203057,A,1
35203058,C,1
35203059,C,1
35203060,C,1
35203061,C,4
35203064,C,4
35203071,C,1
35203072,C,1
35203073,C,1
35203074,C,4
35203075,C,4
35203077,C,1
35203079,C,4
35203080,C,1
35203081,C,1
35203082,A,1
35203086,C,4
35203087,C,1
35203093,C,4
35203094,C,2
35203095,C,1
35203096,C,1
35203097,C,1
35203098,C,4
35203102,B,1
35203105,B,1
35203107,B,3
35203108,B,3
35203109,B,1
35203110,B,3
35203111,B,3
35203112,B,3
35203113,B,3
35203126,B,1
35203127,C,4
35203128,B,1
35203129,D,1
35203130,D,1
35203131,A,3
35203132,A,2
35203133,A,2
35203134,A,2
35203135,B,1
35203136,B,1
35203137,B,1
35203138,B,1
35203139,B,3
35203140,B,3
35203141,B,3
35203142,B,3
35203143,C,4
35203144,A,2
35203146,B,1
35203147,B,1
35203148,D,1
35203149,A,3
35203150,B,3
35203151,B,1
35203152,B,1
35203153,D,1
35203154,B,1
35203156,A,2
35203157,A,3
35203160,A,3
35203161,D,2
35203162,D,1
35203163,D,1
35203167,D,1
35203170,D,1
35203174,A,2
35203175,D,2
35203176,D,2
35203177,D,2
35203183,D,1
35203184,D,1
35203185,B,3
35203190,D,1
35203191,A,2
35203192,D,1
35203193,D,1
35203194,D,1
35203195,D,1
35203196,A,2
35203197,D,1
35203198,D,1
35203199,A,2
35203200,A,2
35203201,D,1
35203202,A,2
35203203,D,1
35203204,A,2
35203208,B,1
35203209,A,2
35203210,D,1
35203211,B,1
35203212,D,1
35203213,D,1
35203214,D,1
35203216,D,1
35203217,B,1
35203218,B,1
35203219,A,2
35203220,A,2
35203221,B,1
35203222,D,1
35203223,D,1
35203224,D,1
35203225,B,1
35203226,B,1
35203227,C,1
35203228,D,1
35203229,B,1
35203230,D,1
35203231,B,1
35203232,A,2
35203233,B,1
35203234,B,1
35203235,B,1
35203236,B,1
35203237,B,1
35203238,B,1
35203239,C,2
35203240,B,1
35203241,A,2
35203242,B,1
35203243,B,1
35203244,D,1
35203245,B,1
35203246,B,1
35203247,B,1
35203248,B,1
35203249,B,1
35203250,B,1
35203251,C,4
35203252,B,1
35203253,B,1
35203254,B,1
35203255,B,1
35203256,B,1
35203257,D,1
35203258,C,1
35203259,C,2
35203260,B,1
35203261,C,2
35203263,A,2
35203264,B,1
35203265,B,1
35203266,B,1
35203267,B,1
35203268,C,1
35203269,C,1
35203270,D,1
35203271,C,1
35203273,B,2
35203274,A,1
35203275,C,3
35203276,C,4
35203277,B,1
35203278,C,1
35203279,B,1
35203280,C,1
35203281,C,4
35203282,B,2
35203283,C,1
35203284,B,1
35203285,B,1
35203286,C,1
35203287,A,1
35203288,C,1
35203289,C,4
35203290,A,1
35203291,A,1
35203292,C,4
35203293,A,1
35203294,C,1
35203296,C,1
35203297,C,4
35203298,A,1
35203299,C,1
35203300,C,1
35203301,C,4
35203314,B,1
35203315,B,1
35203316,A,1
35203317,B,1
35203318,B,1
35203321,B,1
35203322,B,1
35203323,B,3
35203324,C,4
35203330,A,1
35203331,C,3
35203332,B,2
35203333,C,1
35203334,C,1
35203337,C,1
35203338,C,1
35203339,C,1
35203340,C,3
35203342,A,1
35203344,A,2
35203345,C,1
35203346,A,1
35203347,C,1
35203348,C,3
35203350,C,3
35203351,C,1
35203352,C,1
35203353,C,4
35203354,C,1
35203355,C,1
35203356,C,1
35203357,A,1
35203358,C,1
35203359,C,1
35203360,C,1
35203361,C,1
35203362,B,2
35203363,C,4
35203370,C,4
35203371,C,3
35203372,C,1
35203373,B,1
35203374,C,1
35203375,B,2
35203376,D,1
35203377,C,1
35203378,B,2
35203379,C,4
35203380,C,1
35203381,C,1
35203382,C,1
35203383,B,1
35203384,B,2
35203385,C,4
35203386,B,1
35203387,A,1
35203388,C,1
35203389,C,1
35203391,C,1
35203392,D,1
35203393,C,4
35203394,C,3
35203395,C,1
35203396,C,1
35203399,B,2
35203400,B,2
35203401,C,4
35203402,C,3
35203403,C,4
35203404,C,3
35203405,C,3
35203406,C,3
35203407,C,1
35203408,C,3
35203409,A,1
35203410,B,1
35203411,C,1
35203412,A,1
35203413,C,1
35203414,B,1
35203415,C,1
35203416,C,1
35203417,A,1
35203418,C,4
35203419,C,2
35203420,C,1
35203421,C,1
35203422,C,1
35203423,C,1
35203427,C,4
35203435,A,1
35203439,C,4
35203440,C,4
35203441,C,4
35203442,C,2
35203443,C,4
35203444,C,3
35203445,C,1
35203446,C,1
35203447,C,4
35203448,A,1
35203449,A,1
35203450,A,1
35203451,C,4
35203452,C,3
35203458,C,4
35203461,C,1
35203462,C,1
35203463,C,1
35203465,C,3
35203466,C,3
35203467,C,1
35203468,C,4
35203469,C,4
35203470,A,1
35203471,A,1
35203472,C,3
35203479,C,1
35203480,C,1
35203482,C,4
35203483,C,1
35203484,C,4
35203485,C,1
35203486,C,3
35203489,C,4
35203490,C,1
35203491,C,4
35203492,C,4
35203493,C,4
35203494,C,1
35203495,C,2
35203496,C,1
35203498,C,1
35203501,C,1
35203502,C,4
35203503,C,1
35203504,B,1
35203505,C,1
35203506,D,1
35203507,B,1
35203508,B,1
35203509,C,4
35203510,D,1
35203511,C,4
35203512,C,1
35203513,C,1
35203519,B,1
35203520,C,3
35203521,C,4
35203522,C,4
35203523,C,4
35203524,B,1
35203525,B,1
35203526,B,1
35203527,C,4
35203528,C,1
35203529,C,1
35203530,C,1
35203531,B,1
35203532,C,4
35203533,C,4
35203534,C,1
35203535,A,1
35203536,C,1
35203537,C,1
35203538,C,1
35203539,C,2
35203540,C,2
35203541,A,1
35203542,C,3
35203543,B,2
35203544,C,4
35203545,A,1
35203546,C,1
35203547,C,1
35203548,C,3
35203552,C,1
35203554,C,4
35203561,C,3
35203566,D,1
35203567,C,4
35203568,C,4
35203569,A,2
35203570,C,1
35203571,C,1
35203572,C,1
35203573,C,1
35203574,C,4
35203575,B,2
35203576,B,2
35203577,C,1
35203578,B,2
35203579,C,1
35203580,C,3
35203581,A,1
35203584,C,3
35203585,B,2
35203586,C,4
35203587,B,2
35203588,B,2
35203589,B,2
35203590,C,1
35203591,A,1
35203592,B,2
35203593,B,2
35203594,C,1
35203595,A,1
35203596,B,1
35203597,B,2
35203599,C,1
35203600,D,1
35203604,C,4
35203605,C,1
35203606,C,1
35203607,C,1
35203608,C,1
35203610,B,1
35203611,C,1
35203612,B,2
35203613,C,1
35203614,B,2
35203615,C,4
35203616,C,1
35203617,C,3
35203618,C,3
35203619,C,4
35203620,C,4
35203621,C,1
35203622,C,1
35203623,C,4
35203626,C,1
35203627,B,2
35203628,B,2
35203629,B,2
35203630,B,2
35203631,B,2
35203632,B,2
35203633,B,1
35203634,C,1
35203635,A,1
35203636,C,1
35203637,C,1
35203640,B,2
35203641,B,2
35203649,B,3
35203650,C,4
35203651,C,1
35203652,C,1
35203653,C,1
35203654,C,1
35203655,C,1
35203656,C,2
35203657,C,1
35203658,C,4
35203659,C,3
35203660,C,4
35203661,C,4
35203664,C,3
35203666,C,3
35203668,C,1
35203669,C,1
35203670,C,1
35203672,C,1
35203673,A,1
35203675,C,1
35203676,C,4
35203677,B,1
35203678,B,1
35203679,B,1
35203680,B,3
35203681,B,1
35203682,B,1
35203683,B,3
35203684,C,1
35203685,B,2
35203686,B,1
35203687,C,4
35203688,C,1
35203689,B,2
35203690,C,1
35203691,C,1
35203692,B,2
35203693,C,1
35203694,C,1
35203695,C,1
35203696,C,1
35203697,C,1
35203698,C,1
35203699,C,4
35203700,C,4
35203701,C,4
35203703,C,1
35203704,C,1
35203705,A,1
35203708,C,1
35203709,C,3
35203710,C,1
35203711,C,1
35203712,C,1
35203713,C,1
35203714,B,2
35203715,C,1
35203716,C,3
35203717,B,3
35203718,C,1
35203719,B,1
35203720,C,4
35203721,B,1
35203722,B,1
35203723,B,1
35203724,B,1
35203725,A,1
35203726,C,1
35203729,B,1
35203730,B,2
35203731,A,1
35203732,A,1
35203733,B,3
35203734,B,2
35203735,B,1
35203736,C,4
35203737,B,1
35203738,C,1
35203739,B,2
35203740,C,1
35203743,C,1
35203744,C,1
35203745,C,1
35203746,C,1
35203747,C,1
35203748,B,1
35203751,C,1
35203752,C,1
35203753,C,4
35203754,C,4
35203755,C,2
35203756,C,1
35203757,C,1
35203758,C,1
35203759,B,1
35203760,B,1
35203761,B,1
35203762,C,1
35203766,C,3
35203786,B,3
35203787,C,3
35203788,B,3
35203789,B,1
35203790,B,1
35203791,B,1
35203792,C,4
35203793,B,1
35203794,C,2
35203796,C,4
35203798,A,2
35203799,B,1
35203800,B,1
35203801,B,1
35203802,B,1
35203803,B,1
35203807,D,1
35203808,B,1
35203809,B,1
35203810,B,1
35203811,B,1
35203812,A,2
35203813,B,1
35203815,B,1
35203816,B,1
35203817,D,1
35203818,D,1
35203819,B,1
35203820,D,1
35203828,B,1
35203829,B,1
35203830,D,1
35203833,D,1
35203834,D,1
35203835,A,2
35203836,D,1
35203837,D,1
35203838,D,1
35203841,D,1
35203842,A,2
35203843,D,1
35203844,D,1
35203845,D,1
35203846,D,1
35203847,A,1
35203848,B,1
35203849,B,1
35203850,A,2
35203851,A,2
35203852,B,1
35203853,D,1
35203857,A,1
35203858,D,1
35203859,A,2
35203860,D,1
35203861,A,2
35203864,C,3
35203865,A,2
35203866,A,3
35203867,D,1
35203868,D,1
35203869,B,1
35203870,B,1
35203871,B,1
35203872,B,1
35203873,B,1
35203876,B,1
35203877,A,2
35203878,A,2
35203880,B,1
35203881,D,1
35203882,B,1
35203883,B,1
35203884,B,1
35203885,D,1
35203886,B,1
35203887,B,1
35203888,B,1
35203889,B,1
35203890,B,1
35203891,A,2
35203892,B,1
35203893,D,1
35203895,B,1
35203897,D,1
35203898,B,1
35203899,A,1
35203908,A,3
35203909,B,2
35203910,B,2
35203911,C,4
35203912,A,1
35203913,B,2
35203914,A,3
35203915,A,1
35203916,C,1
35203917,B,2
35203919,C,4
35203921,C,4
35203922,B,2
35203925,A,1
35203926,B,2
35203927,B,2
35203928,B,2
35203929,B,2
35203930,B,2
35203931,B,2
35203932,B,2
35203933,B,2
35203936,B,2
35203937,B,2
35203938,C,1
35203939,C,1
35203940,C,1
35203943,C,1
35203945,C,3
35203946,C,3
35203947,A,3
35203948,A,1
35203951,A,1
35203953,C,3
35203954,A,3
35203955,C,3
35203958,A,1
35203959,C,3
35203960,C,3
35203961,C,3
35203962,A,1
35203965,C,3
35203971,A,1
35203973,C,4
35203974,A,1
35203975,B,2
35203976,A,3
35203977,C,3
35203978,C,3
35203979,C,3
35203980,C,3
35203981,C,3
35203984,D,2
35203986,A,3
35203987,D,1
35203989,A,3
35203990,B,1
35203991,D,2
35203992,C,3
35203993,D,1
35203994,C,3
35203995,C,3
35203997,A,2
35203998,C,2
35204001,D,1
35204003,D,2
35204004,D,2
35204005,B,1
35204006,C,2
35204007,A,3
35204009,A,3
35204010,C,2
35204011,C,3
35204012,C,2
35204013,A,3
35204014,C,3
35204015,A,3
35204018,D,2
35204019,D,2
35204020,D,2
35204021,C,3
35204022,D,2
35204024,A,1
35204026,A,3
35204027,A,3
35204028,C,3
35204029,A,3
35204030,C,3
35204032,A,3
35204033,A,3
35204034,C,2
35204035,C,3
35204036,C,4
35204038,C,2
35204039,A,2
35204040,B,1
35204041,A,3
35204042,C,3
35204043,A,3
35204045,A,3
35204047,B,3
35204049,A,3
35204052,A,1
35204053,A,3
35204054,C,3
35204055,C,3
35204056,C,3
35204057,A,1
35204058,A,1
35204059,A,1
35204060,C,3
35204061,A,1
35204062,C,3
35204063,A,3
35204064,C,3
35204065,A,1
35204066,A,3
35204067,B,3
35204068,A,1
35204069,A,1
35204070,C,3
35204072,C,3
35204073,A,3
35204074,A,1
35204075,A,2
35204076,A,3
35204077,A,3
35204079,A,1
35204080,C,3
35204081,A,3
35204082,A,3
35204083,A,3
35204084,B,2
35204085,A,3
35204087,C,3
35204088,A,1
35204089,A,2
35204090,A,2
35204091,D,2
35204092,B,1
35204093,C,3
35204094,C,3
35204095,A,2
35204096,D,2
35204097,A,2
35204098,B,1
35204100,A,3
35204101,A,3
35204103,A,3
35204105,C,3
35204106,D,2
35204107,C,2
35204109,C,3
35204110,C,3
35204111,C,3
35204113,B,2
35204114,B,2
35204115,A,1
35204116,A,3
35204117,A,3
35204118,A,3
35204119,A,1
35204120,A,3
35204121,A,3
35204124,C,3
35204125,A,1
35204126,C,3
35204127,C,3
35204128,C,3
35204129,C,3
35204130,C,4
35204131,C,3
35204133,C,3
35204134,C,2
35204135,A,3
35204136,C,4
35204137,A,3
35204138,C,1
35204139,A,1
35204141,A,1
35204142,D,2
35204143,C,3
35204144,A,3
35204145,C,3
35204146,C,3
35204147,C,3
35204148,C,1
35204149,C,1
35204150,C,1
35204151,C,1
35204152,B,2
35204153,B,2
35204154,C,4
35204155,A,2
35204156,D,1
35204157,D,1
35204159,C,2
35204160,B,1
35204161,D,1
35204162,C,4
35204163,B,3
35204164,C,2
35204165,C,3
35204166,C,2
35204167,C,2
35204168,C,2
35204169,D,1
35204170,B,3
35204171,C,3
35204172,B,3
35204173,C,4
35204174,C,4
35204176,C,4
35204177,C,1
35204178,C,4
35204179,C,3
35204180,C,1
35204181,C,1
35204182,C,4
35204183,C,1
35204184,D,2
35204186,D,1
35204187,D,2
35204188,D,1
35204189,A,1
35204190,C,3
35204191,C,3
35204192,C,3
35204193,D,1
35204194,C,3
35204195,A,3
35204196,B,2
35204197,D,2
35204198,A,3
35204199,A,3
35204200,B,3
35204201,B,3
35204202,B,2
35204204,B,1
35204205,C,1
35204206,C,2
35204207,C,2
35204208,A,1
35204209,B,3
35204211,C,3
35204212,C,1
35204213,C,1
35204214,A,1
35204215,B,1
35204216,B,2
35204217,B,2
35204218,C,1
35204219,A,1
35204220,D,1
35204221,D,2
35204222,D,2
35204224,C,3
35204225,A,1
35204226,C,1
35204227,A,1
35204228,D,2
35204229,D,2
35204230,D,2
35204231,A,1
35204232,C,2
35204233,C,4
35204235,C,4
35204236,C,1
35204237,B,1
35204238,C,4
35204240,A,2
35204242,A,1
35204243,C,3
35204244,C,1
35204245,D,2
35204246,D,2
35204249,A,1
35204250,A,3
35204251,C,4
35204252,A,1
35204253,B,3
35204254,C,3
35204255,A,1
35204256,B,3
35204257,A,1
35204258,B,3
35204259,C,3
35204261,A,1
35204262,B,3
35204263,B,3
35204265,B,1
35204266,B,3
35204267,C,3
35204268,B,1
35204269,C,3
35204271,B,2
35204272,C,3
35204273,B,3
35204274,A,3
35204275,D,1
35204276,B,2
35204277,C,3
35204278,B,2
35204279,B,3
35204280,B,2
35204281,A,1
35204282,C,1
35204283,C,4
35204284,A,1
35204285,A,1
35204286,C,1
35204287,C,3
35204288,C,4
35204289,C,4
35204290,C,3
35204291,C,3
35204292,C,1
35204293,C,1
35204294,C,1
35204295,C,1
35204296,C,4
35204297,C,1
35204298,C,3
35204299,C,1
35204300,A,1
35204301,B,2
35204302,B,1
35204303,C,4
35204304,B,1
35204305,A,3
35204306,A,3
35204307,A,3
35204309,B,2
35204310,A,3
35204311,D,2
35204312,A,3
35204313,A,3
35204314,A,3
35204315,B,2
35204317,A,3
35204318,B,2
35204319,B,2
35204321,A,3
35204322,B,2
35204323,C,4
35204324,B,2
35204325,B,2
35204326,D,2
35204327,B,2
35204328,A,3
35204329,C,3
35204330,A,1
35204331,C,3
35204332,C,4
35204333,C,3
35204334,C,4
35204335,A,1
35204336,C,1
35204337,A,1
35204338,C,4
35204339,C,3
35204340,C,3
35204341,B,3
35204342,B,1
35204343,C,1
35204344,C,3
35204345,A,1
35204346,C,3
35204347,A,1
35204348,C,3
35204349,C,1
35204350,C,4
35204351,A,1
35204352,C,3
35204353,C,3
35204355,A,3
35204356,A,3
35204357,C,1
35204358,C,3
35204359,C,3
35204360,C,4
35204361,B,1
35204362,B,1
35204363,B,3
35204364,A,1
35204365,B,1
35204366,D,2
35204367,A,1
35204369,C,4
35204370,C,3
35204371,C,3
35204372,A,3
35204373,C,3
35204374,C,2
35204375,C,2
35204376,C,4
35204377,C,4
35204378,C,4
35204379,B,1
35204380,A,3
35204381,D,2
35204382,A,3
35204383,D,1
35204384,A,2
35204385,B,1
35204386,B,1
35204387,D,1
35204388,B,3
35204389,D,1
35204390,A,3
35204391,C,2
35204392,C,2
35204393,B,1
35204394,B,1
35204395,C,2
35204396,C,2
35204397,C,3
35204398,C,3
35204399,C,3
35204400,B,1
35204401,C,3
35204402,C,3
35204403,C,2
35204404,C,2
35204405,C,2
35204406,C,1
35204407,C,2
35204408,C,4
35204409,C,2
35204410,C,2
35204411,C,3
35204412,C,3
35204413,A,1
35204414,C,3
35204415,C,3
35204416,C,4
35204417,C,2
35204418,B,3
35204419,C,2
35204420,B,1
35204421,C,4
35204422,C,2
35204423,C,2
35204424,C,4
35204425,C,4
35204426,A,1
35204427,A,1
35204428,C,3
35204429,C,2
35204430,C,3
35204431,B,3
35204432,C,3
35204433,B,1
35204434,B,1
35204435,C,1
35204436,C,3
35204437,C,4
35204438,C,1
35204439,A,1
35204440,C,2
35204441,C,4
35204442,C,2
35204443,C,2
35204444,C,2
35204445,C,2
35204446,C,3
35204447,C,2
35204448,C,3
35204449,C,2
35204450,C,2
35204451,C,2
35204452,C,2
35204453,A,1
35204454,A,1
35204455,C,3
35204456,A,1
35204457,B,1
35204458,C,3
35204460,C,4
35204461,D,1
35204462,A,2
35204463,D,1
35204464,C,3
35204465,D,1
35204466,A,3
35204467,D,2
35204468,A,3
35204469,A,3
35204470,A,3
35204471,C,1
35204472,C,1
35204473,C,1
35204474,C,3
35204475,C,1
35204476,C,1
35204477,C,1
35204478,C,4
35204479,D,1
35204480,A,1
35204481,B,1
35204482,D,1
35204483,D,1
35204484,D,1
35204485,B,1
35204486,B,1
35204487,A,3
35204488,C,3
35204489,C,3
35204490,C,2
35204491,C,2
35204492,C,4
35204493,C,2
35204494,C,2
35204495,B,1
35204496,B,1
35204497,B,1
35204498,D,1
35204499,D,1
35204500,D,1
35204501,D,1
35204502,D,1
35204503,D,2
35204504,D,1
35204505,A,3
35204506,A,2
35204507,D,2
35204508,D,1
35204509,D,1
35204510,D,1
35204511,B,1
35204512,D,1
35204513,B,1
35204514,C,2
35204515,A,2
35204516,C,2
35204517,C,2
35204518,B,1
35204519,A,2
35204520,C,2
35204521,A,2
35204522,A,2
35204523,A,2
35204524,B,1
35204525,B,1
35204526,A,2
35204527,B,1
35204528,B,1
35204529,B,1
35204530,D,1
35204531,B,1
35204532,A,2
35204533,A,3
35204534,A,2
35204535,A,3
35204536,D,2
35204537,D,1
35204538,B,1
35204539,D,1
35204540,D,1
35204541,B,1
35204542,A,2
35204543,D,2
35204544,D,1
35204545,A,2
35204546,C,4
35204547,C,2
35204548,A,1
35204549,C,2
35204550,C,2
35204551,C,2
35204552,C,2
35204553,B,1
35204554,C,2
35204555,C,2
35204556,D,1
35204557,B,1
35204558,D,2
35204559,D,1
35204560,B,1
35204561,D,1
35204562,D,2
35204563,A,1
35204564,C,3
35204565,D,2
35204566,D,2
35204567,C,3
35204568,D,1
35204569,A,2
35204570,D,1
35204571,A,2
35204572,D,1
35204573,D,1
35204574,D,1
35204575,D,1
35204576,D,1
35204577,D,1
35204578,D,2
35204579,D,2
35204580,D,2
35204581,D,2
35204582,A,2
35204583,A,2
35204584,D,2
35204585,D,2
35204586,D,2
35204587,D,2
35204588,A,3
35204589,D,2
35204590,D,2
35204591,D,2
35204592,D,2
35204593,A,2
35204594,D,2
35204595,A,3
35204596,D,2
35204597,A,2
35204598,D,2
35204599,A,3
35204600,A,2
35204601,D,2
35204602,A,3
35204603,D,2
35204605,A,3
35204606,A,3
35204607,D,2
35204608,D,2
35204609,D,2
35204610,B,3
35204611,D,2
35204612,D,2
35204613,D,2
35204614,D,2
35204615,D,2
35204616,D,2
35204617,D,2
35204618,A,3
35204620,D,2
35204621,D,2
35204622,D,2
35204623,D,2
35204624,D,2
35204625,A,2
35204626,D,1
35204627,B,1
35204628,B,1
35204629,D,1
35204630,D,1
35204631,B,1
35204632,B,1
35204633,D,1
35204634,D,1
35204635,D,1
35204636,B,1
35204637,B,1
35204638,B,1
35204639,B,1
35204640,B,1
35204641,C,4
35204642,B,1
35204643,B,1
35204644,B,1
35204645,A,2
35204646,B,1
35204647,C,3
35204648,C,3
35204649,A,1
35204650,D,2
35204652,D,2
35204653,A,3
35204655,D,2
35204656,D,2
35204657,C,3
35204658,D,1
35204659,D,1
35204660,D,1
35204661,D,1
35204662,C,3
35204663,D,1
35204664,D,1
35204665,D,1
35204666,D,2
35204667,D,1
35204668,C,3
35204669,D,2
35204670,A,3
35204671,A,2
35204672,B,1
35204673,B,1
