DisseminationArea,Primary Cluster,Secondary Cluster
35200536,C,3
35200538,A,3
35200539,A,1
35200540,C,1
35200541,C,3
35200542,C,1
35200545,B,3
35200561,B,1
35200562,B,1
35200563,B,1
35200564,B,1
35200565,B,1
35200566,B,1
35200567,C,4
35200568,B,1
35200569,B,1
35200570,B,1
35200571,D,1
35200572,B,1
35200573,B,1
35200574,A,2
35200575,B,1
35200576,B,1
35200577,A,2
35200578,B,1
35200579,B,1
35200580,B,1
35200581,D,1
35200582,D,1
35200583,D,1
35200584,B,1
35200585,D,1
35200586,D,1
35200587,D,1
35200588,D,1
35200589,B,1
35200590,B,1
35200591,B,1
35200593,D,1
35200594,D,1
35200595,D,1
35200596,D,1
35200597,A,2
35200598,C,3
35200599,D,1
35200600,B,1
35200601,B,1
35200602,B,1
35200603,C,2
35200604,D,1
35200605,B,1
35200606,D,1
35200610,B,1
35200611,B,1
35200612,B,1
35200639,A,1
35200640,C,4
35200641,C,3
35200642,C,4
35200643,D,1
35200644,C,4
35200645,B,1
35200646,B,1
35200647,D,1
35200648,D,1
35200649,B,1
35200650,B,1
35200651,B,1
35200652,B,1
35200653,B,1
35200654,B,1
35200655,B,1
35200656,D,1
35200657,B,1
35200658,B,1
35200659,B,3
35200660,B,1
35200661,A,3
35200662,A,2
35200663,B,1
35200664,B,1
35200665,B,1
35200666,B,1
35200667,B,1
35200668,D,1
35200669,B,1
35200670,B,1
35200671,B,1
35200672,D,1
35200673,D,1
35200674,D,1
35200675,D,1
35200676,B,1
35200677,B,1
35200678,B,1
35200679,B,1
35200680,B,1
35200681,B,1
35200682,B,1
35200683,D,1
35200686,A,2
35200687,A,2
35200688,D,1
35200689,A,2
35200690,D,1
35200691,A,2
35200692,D,1
35200693,B,1
35200694,C,2
35200695,D,1
35200696,B,1
35200697,D,1
35200698,D,1
35200699,B,1
35200700,D,1
35200701,D,1
35200702,A,2
35200703,D,1
35200704,D,1
35200705,A,2
35200706,B,1
35200707,B,1
35200708,D,1
35200709,B,1
35200710,B,1
35200711,D,1
35200712,D,1
35200713,B,1
35200714,B,1
35200715,B,1
35200716,D,1
35200717,D,1
35200718,A,1
35200719,C,2
35200720,D,1
35200724,B,1
35200725,B,1
35200726,B,1
35200727,B,1
35200728,D,1
35200729,B,1
35200730,B,1
35200731,D,1
35200732,B,1
35200733,B,1
35200734,B,1
35200735,B,1
35200736,B,1
35200737,B,1
35200738,B,1
35200739,D,1
35200740,B,3
35200741,D,2
35200744,A,2
35200745,A,2
35200746,B,3
35200747,B,3
35200748,B,1
35200749,B,3
35200750,B,3
35200751,B,3
35200752,B,1
35200753,B,3
35200754,B,1
35200755,D,1
35200756,A,2
35200757,D,2
35200768,D,2
35200769,A,2
35200770,D,1
35200771,D,1
35200772,D,1
35200774,D,1
35200782,D,2
35200783,A,2
35200791,D,1
35200792,D,1
35200794,D,1
35200795,B,1
35200796,D,1
35200797,D,1
35200798,D,1
35200801,C,3
35200802,C,3
35200803,C,3
35200804,B,3
35200805,D,2
35200806,D,2
35200807,D,1
35200808,D,1
35200809,D,1
35200810,C,3
35200811,C,3
35200812,D,1
35200813,D,1
35200814,D,2
35200815,D,1
35200821,D,2
35200822,D,2
35200826,D,2
35200827,D,1
35200828,D,2
35200829,B,3
35200830,D,1
35200831,D,1
35200832,D,1
35200833,D,1
35200855,D,2
35200859,D,1
35200860,D,2
35200861,D,2
35200862,D,1
35200863,D,1
35200864,D,1
35200865,D,1
35200866,C,2
35200867,C,3
35200868,D,2
35200869,D,1
35200870,D,2
35200876,D,1
35200877,D,1
35200878,A,3
35200879,D,1
35200880,B,1
35200881,D,1
35200882,D,1
35200883,D,1
35200884,A,2
35200885,A,2
35200886,D,1
35200887,D,1
35200888,D,1
35200889,D,1
35200890,D,1
35200891,D,1
35200892,D,1
35200893,D,2
35200894,D,2
35200895,D,2
35200896,D,2
35200897,D,2
35200898,D,1
35200899,D,2
35200900,D,2
35200901,D,2
35200902,D,2
35200903,D,2
35200905,D,2
35200906,D,1
35200907,D,1
35200908,D,1
35200909,D,2
35200910,D,2
35200911,B,1
35200912,D,1
35200913,D,1
35200914,D,1
35200915,D,1
35200916,D,1
35200917,D,1
35200918,A,2
35200919,D,1
35200920,D,1
35200921,D,1
35200922,D,1
35200923,D,1
35200924,D,1
35200925,D,1
35200926,D,1
35200927,D,1
35200928,D,1
35200929,D,1
35200930,D,1
35200931,D,1
35200932,D,1
35200933,A,2
35200934,D,1
35200935,D,1
35200936,D,1
35200937,C,2
35200938,A,2
35200939,D,1
35200940,D,1
35200941,D,1
35200942,D,1
35200943,D,1
35200944,D,1
35200945,B,1
35200946,D,1
35200949,D,1
35200950,D,1
35200951,D,1
35200952,A,2
35200953,A,2
35200954,D,1
35200955,D,1
35200956,D,1
35200957,A,1
35200958,D,1
35200959,C,2
35200960,B,1
35200961,D,1
35200962,D,1
35200963,D,1
35200965,D,1
35200966,D,1
35200967,D,1
35200968,A,1
35200969,C,2
35200974,B,1
35200975,A,2
35200976,D,1
35200977,D,1
35200979,B,3
35200981,A,1
35200983,B,1
35200985,D,1
35200986,A,2
35200987,B,1
35200988,D,1
35200989,A,2
35200990,A,2
35200991,D,1
35200992,B,1
35200993,D,1
35200994,D,1
35200995,D,1
35200996,A,2
35200997,D,1
35200998,D,1
35200999,D,1
35201000,D,1
35201001,D,1
35201002,A,2
35201003,B,1
35201004,D,1
35201005,D,1
35201006,D,1
35201007,A,2
35201008,A,2
35201009,D,1
35201010,D,1
35201011,D,1
35201012,D,1
35201013,D,1
35201014,D,1
35201015,A,2
35201016,D,1
35201017,D,1
35201018,D,1
35201019,A,2
35201020,D,1
35201023,D,1
35201024,D,1
35201025,D,2
35201026,D,1
35201027,D,1
35201028,D,1
35201029,D,2
35201030,D,1
35201031,D,2
35201032,A,2
35201033,D,2
35201034,D,1
35201035,D,2
35201036,D,2
35201038,D,2
35201039,D,2
35201040,D,1
35201041,D,1
35201044,D,1
35201045,D,2
35201046,D,2
35201047,D,2
35201048,D,1
35201049,D,1
35201050,B,1
35201051,A,2
35201052,D,2
35201053,D,2
35201054,A,2
35201055,D,2
35201056,D,2
35201057,D,1
35201058,D,2
35201059,D,1
35201060,A,2
35201061,D,2
35201062,D,1
35201063,D,1
35201064,D,1
35201065,B,1
35201066,B,1
35201067,D,1
35201068,D,1
35201069,D,1
35201070,D,1
35201071,D,1
35201072,D,1
35201073,D,1
35201076,D,1
35201077,B,1
35201078,A,2
35201079,D,1
35201080,D,1
35201081,D,1
35201104,D,1
35201105,D,1
35201106,D,1
35201107,D,2
35201109,D,1
35201110,D,1
35201111,D,1
35201112,B,1
35201113,D,1
35201114,D,1
35201122,C,2
35201123,B,1
35201124,C,2
35201125,A,2
35201126,C,2
35201127,C,2
35201128,C,2
35201129,C,2
35201130,B,1
35201131,C,2
35201132,C,2
35201133,B,1
35201134,C,2
35201139,D,1
35201140,C,2
35201141,B,1
35201142,D,1
35201143,C,2
35201144,D,1
35201145,C,2
35201146,B,1
35201147,B,1
35201148,A,2
35201149,D,1
35201150,D,1
35201151,D,1
35201152,D,1
35201153,D,1
35201154,D,1
35201155,B,1
35201156,D,1
35201157,D,1
35201158,A,2
35201159,C,2
35201160,C,2
35201161,D,1
35201162,A,1
35201163,D,1
35201164,C,2
35201165,D,1
35201166,C,2
35201167,A,1
35201168,C,2
35201169,D,1
35201170,C,2
35201171,C,2
35201172,C,2
35201173,C,2
35201174,C,2
35201175,C,2
35201176,B,1
35201177,D,1
35201178,C,2
35201179,C,2
35201180,C,2
35201181,A,2
35201182,C,2
35201185,B,1
35201186,C,2
35201187,B,1
35201188,C,2
35201191,B,1
35201192,C,1
35201193,B,1
35201194,C,2
35201195,C,2
35201196,C,2
35201197,C,2
35201198,C,2
35201199,C,2
35201200,C,4
35201201,C,2
35201202,C,2
35201203,C,2
35201204,C,2
35201205,C,2
35201206,C,2
35201209,C,2
35201210,C,2
35201211,C,2
35201212,C,2
35201213,C,4
35201214,B,3
35201215,A,1
35201216,C,2
35201217,C,4
35201219,A,1
35201222,B,1
35201228,C,4
35201240,C,2
35201241,C,2
35201242,C,2
35201243,C,2
35201244,C,2
35201249,C,2
35201250,C,2
35201251,C,2
35201252,D,1
35201253,C,4
35201254,C,2
35201255,B,1
35201256,A,2
35201257,B,1
35201259,C,2
35201263,C,2
35201264,C,2
35201267,C,2
35201278,B,1
35201279,B,1
35201280,B,1
35201281,B,1
35201282,B,1
35201283,B,1
35201284,D,1
35201285,D,1
35201286,D,1
35201287,D,1
35201288,D,1
35201289,A,2
35201290,B,1
35201291,B,1
35201292,B,1
35201293,B,1
35201294,B,1
35201295,B,1
35201297,B,1
35201298,A,2
35201312,D,1
35201313,D,1
35201314,B,1
35201315,B,1
35201316,D,1
35201317,D,1
35201318,B,1
35201319,A,2
35201320,D,1
35201321,A,2
35201322,D,1
35201323,B,1
35201324,A,2
35201325,B,1
